"Id","TemplateName","PushHeaderLength","PullHeaderLength","PushPayloadType","PullPayloadType","CreatedDate","MeterTemplateId","MeterProfileHeaderTemplateId","EventTemplateId","BillTemplateId","DailyTemplateId","BlockTemplateId","InstantTemplateId","MiscTemplateId","CreatedBy","IsFG23","EventNonProfileTemplateId","IsLocked","Detail"
"27","Sikkim FG23 Copy","10","10","2","2","15-05-2026 14:17:33","27","0","13","11","13","12","11","0","vikash.singh@kimbal.io","True","9","1","{""RFFirmwareVersion"":[""FW-1.0""],""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":[""TEST 1.22""]}"
"28","Sikkim FG23","10","10","2","2","15-05-2026 14:17:33","28","0","0","0","0","0","0","0","akshita.gupta@kimbal.io","True","0","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""SPALT.02.02"",""ANSK3.00.19""],""MeterFirmwareVersion"":null}"
"29","PVVNL","10","10","2","2","15-05-2026 14:17:33","29","0","4","4","5","5","5","1","vikash.singh@kimbal.io","True","1","1","{""RFFirmwareVersion"":[""Test-123""],""MeterInternalFirmwareVersion"":[""8PB10.65""],""MeterFirmwareVersion"":[""RX:10003""]}"
"30","Sikkim TCP","0","0","4","4","15-05-2026 14:17:33","30","0","0","111","0","0","111","53","abhijith.b@kimbal.io","False","0","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":[""CRH-015.83""]}"
"31","HP Apraava TCP","0","0","4","4","15-05-2026 14:17:33","31","0","5","5","7","6","7","23","ayush.rajput@kimbal.io","False","3","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""HPLD3.01.02""],""MeterFirmwareVersion"":null}"
"32","New Kushal Base 7","12","12","2","2","15-05-2026 14:17:33","32","3","8","8","9","9","9","0","vikash.singh@kimbal.io","False","5","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""AR000.01.28""],""MeterFirmwareVersion"":null}"
"33","New Kushal Base 7 Copy","12","12","2","2","15-05-2026 14:17:33","33","3","8","9","9","9","9","0","vikash.singh@kimbal.io","False","5","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""IP000.00.89"",""IP000.00.90"",""IP000.00.91"",""IP000.00.95"",""S0000.00.27"",""S0000.00.16"",""S0000.00.21"",""S0000.00.23"",""S0000.00.19"",""S0000.00.29"",""S0000.00.31"",""S0000.00.35"",""AR900.00.95"",""AR000.01.03"",""AR000.01.03"",""SAP00.00.00"",""SAP0.10.05"",""SAP0.10.01"",""SAP0.10.02"",""SAP0.10.04"",""SAP0.10.08"",""SAP0.10.10"",""SAP0.10.00""],""MeterFirmwareVersion"":null}"
"34","Linkwell_3P","12","12","2","2","15-05-2026 14:17:33","34","3","32","35","33","35","35","14","akshita.gupta@kimbal.io","True","22","1",""
"35","WB LTCT TCP","0","0","4","4","15-05-2026 14:17:33","35","0","12","10","12","13","10","11","akshita.gupta@kimbal.io","False","8","1","{""RFFirmwareVersion"":[""WBL01.00.20""],""MeterInternalFirmwareVersion"":[""WBL01.00.20""],""MeterFirmwareVersion"":[""KM1- 01.24""]}"
"36","WB LTCT FG23","10","10","2","2","15-05-2026 14:17:33","36","0","12","10","12","13","44","24","gaurav@kimbal.io","True","8","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""WBL01.00.20""],""MeterFirmwareVersion"":null}"
"37","J&K TCP DLMS","0","0","4","4","15-05-2026 14:17:33","37","0","5","7","8","8","8","8","akshita.gupta@kimbal.io","False","0","1",""
"38","Apraava MQTT","0","0","3","3","15-05-2026 14:17:34","38","0","11","12","11","11","12","18","gaurav@kimbal.io","False","7","1",""
"39","ScheniderCT(J&K)","10","10","2","2","15-05-2026 14:17:33","39","0","21","23","24","25","22","0","gaurav@kimbal.io","False","15","1",""
"40","Template 11 Copy","12","12","2","2","15-05-2026 14:17:33","40","3","8","38","9","41","9","17","gaurav@kimbal.io","True","5","1","{""RFFirmwareVersion"":[""v16.7.2.23""],""MeterInternalFirmwareVersion"":[""APHP0.01.25""],""MeterFirmwareVersion"":[""KU1 01.24""]}"
"41","EMS_DEMO_2","0","0","4","4","15-05-2026 14:17:33","41","0","69","87","67","98","19","15","vikash.singh@kimbal.io","False","13","0","NULL"
"42","0.2_HTCT_TCP4G","0","0","4","4","15-05-2026 14:17:33","42","0","85","118","88","99","116","56","vikash.singh@kimbal.io","False","57","1","NULL"
"43","NCC PKG8/9/Montecarlo 1P_Unified","12","12","2","2","15-05-2026 14:17:33","43","3","86","119","89","100","117","10","gaurav@kimbal.io","True","58","1","NULL"
"44","NCC PKG8/9/Montecarlo 1P_Unified(NEW)","12","12","2","2","15-05-2026 14:17:33","44","3","86","120","89","100","117","10","gaurav@kimbal.io","True","58","1","NULL"
"45","Intelli-AIIB-1P(RF)_Export","12","12","2","2","16-07-2026 10:24:32","45","3","46","126","46","103","120","32","gaurav@kimbal.io","False","33","1",""
"46","Intelli PKG7 unified 3P_withoutRSSi","12","12","2","2","30-07-2026 07:17:12","46","3","63","79","63","72","124","43","gaurav@kimbal.io","True","47","1",""
"47","APDCLCustomPullPush","10","10","2","2","15-05-2026 14:17:33","47","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1","{""RFFirmwareVersion"":[""TEST 1.22""],""MeterInternalFirmwareVersion"":[""8PB10.60""],""MeterFirmwareVersion"":[""8PB10.60""]}"
"48","HTCT_APDCL_PKG7","0","0","4","4","15-05-2026 14:17:33","48","0","6","6","6","7","6","2","akshita.gupta@kimbal.io","False","2","1",""
"49","MonteCarlo/NCC-MSEDCL-RF (unified)_63","12","12","2","2","15-06-2026 11:27:53","49","3","87","123","90","101","118","25","gaurav@kimbal.io","True","59","1",""
"50","MonteCarlo/NCC-MSEDCL-RF (unified)_79","12","12","2","2","17-06-2026 11:54:45","50","3","87","122","90","101","118","25","gaurav@kimbal.io","True","59","1",""
"51","MonteCarlo/NCC-MSEDCL-RF (unified)_147","12","12","2","2","17-06-2026 11:58:40","51","3","87","121","90","101","118","25","gaurav@kimbal.io","True","59","1",""
"53","Apraava_WB-1P_IMG","0","0","3","3","15-05-2026 14:17:33","53","0","47","10","12","53","52","11","gaurav@kimbal.io","False","34","1",""
"54","LTCT_Genus","0","0","4","4","15-05-2026 14:17:33","54","0","14","14","14","15","13","4","Priyanka.nehra2@kimbal.io","False","10","1",""
"55","Secure_WB_8TOD","0","0","4","4","15-05-2026 14:17:33","55","0","26","30","16","52","14","0","Karan.agrawal@kimbal.io","False","3","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":[""F9XX01""]}"
"56","HTCT_Genus","0","0","4","4","15-05-2026 14:17:33","56","0","0","14","14","17","15","4","ajay.singh@kimbal.io","False","0","1",""
"57","Panasonic/Hubbly_RF(Unified)","12","12","2","2","15-05-2026 14:17:33","57","3","16","16","17","18","16","26","gaurav@kimbal.io","True","11","1",""
"58","NAGALAND TCP","0","0","4","4","15-05-2026 14:17:33","58","0","18","18","19","20","85","15","gaurav@kimbal.io","False","13","1",""
"59","MONTECARLO","10","10","2","2","15-05-2026 14:17:33","59","0","17","17","18","19","18","0","vikash.singh@kimbal.io","True","12","1",""
"60","SchneidereqhesCT","0","0","4","4","15-05-2026 14:17:33","60","0","20","20","21","22","22","5","ajay.singh@kimbal.io","False","0","1",""
"61","Schneidereqhes3P","0","0","4","4","15-05-2026 14:17:33","61","0","20","21","22","23","23","5","akshita.gupta@kimbal.io","False","0","1",""
"62","Schneidereqhes1P","0","0","4","4","15-05-2026 14:17:33","62","0","20","22","23","24","24","5","akshita.gupta@kimbal.io","False","0","1",""
"63","DemoHES Kimbal","0","0","4","4","15-05-2026 14:17:33","63","0","23","24","0","0","0","29","akshita.gupta@kimbal.io","False","0","1",""
"64","1P Demo","0","0","0","0","15-05-2026 14:17:33","64","0","0","0","0","0","0","0","ajay.singh@kimbal.io","False","0","1",""
"65","PANASONIC TCP","10","10","4","4","15-05-2026 14:17:33","65","0","25","26","26","27","26","0","vikash.singh@kimbal.io","False","16","1",""
"66","Linkwell_1P","12","12","2","2","15-05-2026 14:17:33","66","3","32","35","33","35","35","14","akshita.gupta@kimbal.io","True","22","1",""
"67","Tata Jamsedpur","0","0","4","4","15-05-2026 14:17:33","67","0","27","28","28","30","36","36","gaurav@kimbal.io","False","18","1",""
"68","Secure_WB_3TOD","0","0","4","4","15-05-2026 14:17:33","68","0","26","27","16","52","14","7","akshita.gupta@kimbal.io","False","3","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":[""F9XX01""]}"
"69","NCC Nashik IMG","0","0","3","3","15-05-2026 14:17:33","69","0","28","29","29","31","29","0","basant.dangi@kimbal.io","False","3","1",""
"70","MonteCarlo/NCC-MSEDCL-IMG-1P","0","0","3","3","15-05-2026 14:17:33","70","0","30","31","31","33","31","10","gaurav@kimbal.io","False","20","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""MC000.01.53""],""MeterFirmwareVersion"":null}"
"71","NCC PKG8 ","12","12","2","2","15-05-2026 14:17:33","71","3","31","43","32","34","32","10","gaurav@kimbal.io","True","21","1",""
"72","PVVNL TCP","0","0","4","4","15-05-2026 14:17:33","72","0","33","36","34","36","37","22","gaurav@kimbal.io","False","23","1",""
"73","APRAAVA HP - KMesh","0","7","3","3","15-05-2026 14:17:33","73","0","5","5","7","6","97","0","peeyush.mishra@kimbal.io","False","3","1",""
"74","NCC/MonteCarlo-MSEDCL-1P (TCP 4G)","0","0","4","4","15-05-2026 14:17:33","74","0","30","31","31","33","31","10","gaurav@kimbal.io","False","20","1",""
"76","Anvil-Sikkim-1P (RF)","10","10","2","2","15-05-2026 14:17:33","76","0","36","32","37","39","40","16","gaurav@kimbal.io","True","27","1",""
"77","Apraava_APDCL_MQTT_Copy(RF FG13)","12","12","2","2","15-05-2026 14:17:33","77","3","11","12","11","11","12","18","gaurav@kimbal.io","False","7","1",""
"78","GVPR_Secure_WB_8TOD","0","0","4","4","15-05-2026 14:17:33","78","0","37","30","38","52","41","0","Karan.agrawal@kimbal.io","False","3","1","{""RFFirmwareVersion"":[""TCP""],""MeterInternalFirmwareVersion"":[""F9XX01""],""MeterFirmwareVersion"":[""F9XX01""]}"
"79","HP_Secure_520","0","0","4","4","15-05-2026 14:17:33","79","0","51","60","51","57","58","7","atul.raj@kimbal.io","False","3","1",""
"80","Linkwell_TCP","0","0","4","4","15-05-2026 14:17:33","80","0","32","35","33","35","35","14","pandurang.chauhan@kimbal.io","False","22","1",""
"81","Sikkim TCP_Copy","0","0","4","4","15-05-2026 14:17:33","81","0","39","58","0","0","43","0","vikash.singh@kimbal.io","False","0","1",""
"82","GVPR_Secure_WB_3TOD","0","0","4","4","15-05-2026 14:17:33","82","0","26","27","38","52","41","0","Karan.agrawal@kimbal.io","False","3","1","{""RFFirmwareVersion"":[""F9XX01""],""MeterInternalFirmwareVersion"":[""F9XX01""],""MeterFirmwareVersion"":[""F9XX01""]}"
"83","Anvil-Sikkim-3P&LTCT (RF FG23)","10","10","2","2","15-05-2026 14:17:33","83","0","39","41","40","42","43","19","gaurav@kimbal.io","True","26","1","{""RFFirmwareVersion"":[""v17.4.184.17""],""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":[""ANSK3.00.19"",""SPALT.02.05""]}"
"84","HP Apraava TCP_Copy","0","0","3","3","15-05-2026 14:17:33","84","0","5","42","7","6","7","20","gaurav@kimbal.io","False","3","1",""
"85","Anvil-Nagaland-3P&LTCT-TCP4G","0","0","4","4","15-05-2026 14:17:33","85","0","40","44","40","43","45","19","gaurav@kimbal.io","False","26","1",""
"86","Anvil-Nagaland-3P&LTCT-RF FG23","12","12","2","2","15-05-2026 14:17:33","86","3","40","44","40","43","45","0","vikash.singh@kimbal.io","True","26","1",""
"87","MonteCarlo/NCC-MSEDCL-RF FG23 (New Header)","12","12","2","2","15-05-2026 14:17:33","87","3","17","45","18","44","18","25","gaurav@kimbal.io","True","12","1",""
"88","Intelli PKG 7-APDCL-MQTT(IMG)","0","0","3","3","15-05-2026 14:17:33","88","0","5","46","7","6","7","27","gaurav@kimbal.io","False","3","1",""
"89","Anvil-Sikkim-1P (IMG)","0","0","3","3","15-05-2026 14:17:33","89","0","36","32","37","39","40","16","gaurav@kimbal.io","False","27","1","{""RFFirmwareVersion"":[""IMGMQ.0.KIM.I00""],""MeterInternalFirmwareVersion"":[""ANSK0.01.61""],""MeterFirmwareVersion"":null}"
"92","UnifiedApraavaWB-1P(RF-FG23)","12","12","2","2","15-05-2026 14:17:33","92","3","43","51","43","47","48","31","gaurav@kimbal.io","True","30","1","{""RFFirmwareVersion"":[""v16.12.1.21""],""MeterInternalFirmwareVersion"":[""WB1PX.00.25"",""WB1PG.00.25""],""MeterFirmwareVersion"":null}"
"93","Anvil-AMI 1&2-1P (RF)","12","12","2","2","15-05-2026 14:17:33","93","3","8","48","9","49","9","28","gaurav@kimbal.io","False","5","1","{""RFFirmwareVersion"":[""v4.5.194.0""],""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":[""S2000.00.05""]}"
"94","APRAAVA_APDCL_3P_FG13","12","12","2","2","15-05-2026 14:17:33","94","3","42","49","42","46","47","29","vikash.singh@kimbal.io","False","29","1",""
"95","GVPR_Secure_WB_3TOD_Copy","0","0","4","4","15-05-2026 14:17:33","95","0","26","50","38","16","41","0","basant.dangi@kimbal.io","False","3","1",""
"96","KMESH Base 7","0","7","3","3","15-05-2026 14:17:33","96","0","8","8","9","9","9","0","ayush.patel@kimbal.io","False","5","1",""
"97","Anvil-J&K_1Ph_New_Header","12","12","2","2","15-05-2026 14:17:33","97","3","8","9","9","9","9","0","atul.raj@kimbal.io","False","5","1",""
"98","BRIGHTGRID_RF","12","12","2","2","15-05-2026 14:17:33","98","3","45","2","45","50","50","30","milan.sharma@kimbal.io","True","32","1",""
"100","Intelli-AIIB-1P (RF) - with Export TOD","12","12","2","2","15-05-2026 14:17:33","100","3","46","54","46","51","51","32","gaurav@kimbal.io","False","33","1","{""RFFirmwareVersion"":[""v3.5.225.1"",""v15.5.213.5""],""MeterInternalFirmwareVersion"":[""AR3P0.00.05""],""MeterFirmwareVersion"":[""AMI3P.00.01""]}"
"101","DGVCL 1P (RF)","12","12","2","2","15-05-2026 14:17:33","101","3","48","57","48","54","92","33","gaurav@kimbal.io","True","35","1","{""RFFirmwareVersion"":[""v16.11.2.11""],""MeterInternalFirmwareVersion"":[""DG1P0.00.03""],""MeterFirmwareVersion"":null}"
"102","DGVCL 1P IMG (MQTT)","0","0","3","3","15-05-2026 14:17:33","102","0","48","57","48","54","53","33","gaurav@kimbal.io","False","35","1",""
"103","KMESH_COPY","0","7","3","3","15-05-2026 14:17:33","103","0","49","59","49","55","54","13","Gaurav@kimbal.io","True","36","1","{""RFFirmwareVersion"":[""v2.3.0""],""MeterInternalFirmwareVersion"":[""MC000.11.80""],""MeterFirmwareVersion"":null}"
"104","Apraava_APDCL_LTCT(New Header)","12","12","2","2","15-05-2026 14:17:33","104","3","50","12","50","78","55","18","gaurav@kimbal.io","False","7","1",""
"105","Apraava 1P","12","12","2","2","15-05-2026 14:17:33","105","3","46","54","46","51","57","34","gaurav@kimbal.io","False","33","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""AR000.02.01""],""MeterFirmwareVersion"":null}"
"106","Apraava 1P Intelli Updated","12","12","2","2","15-05-2026 14:17:33","106","3","46","55","46","51","57","32","gaurav@kimbal.io","False","33","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":[""SAP0.10.23""],""MeterFirmwareVersion"":null}"
"107","Apraava 3P TCP","0","0","4","4","15-05-2026 14:17:33","107","0","46","54","46","51","51","32","gaurav@kimbal.io","False","33","1","{""RFFirmwareVersion"":[""KIM0.T02.03.014""],""MeterInternalFirmwareVersion"":[""AR3P0.00.05""],""MeterFirmwareVersion"":null}"
"108","APDCL 1P MQTT 4G","0","0","3","3","15-05-2026 14:17:33","108","0","46","54","46","51","57","34","gaurav@kimbal.io","False","33","1","{""RFFirmwareVersion"":[""NYU4G_V2.0.4_6""],""MeterInternalFirmwareVersion"":[""AR000.01.80""],""MeterFirmwareVersion"":null}"
"109","Apraava MQTT_Copy1","0","0","3","3","15-05-2026 14:17:33","109","0","11","12","11","58","12","18","gaurav@kimbal.io","False","7","1",""
"110","NCC PKG8 _Copy","12","12","2","2","15-05-2026 14:17:33","110","3","31","61","32","34","32","10","gaurav@kimbal.io","True","21","1","NULL"
"111","ARAAVA HP LTCT","0","0","4","4","15-05-2026 14:17:33","111","0","52","62","52","59","59","35","vikash.singh@kimbal.io","False","38","1","NULL"
"112","DGVCL 3P","12","12","2","2","15-05-2026 14:17:33","112","3","53","63","53","60","60","39","vikash.singh@kimbal.io","True","39","1","{""RFFirmwareVersion"":[""v17.11.4.11""],""MeterInternalFirmwareVersion"":[""DGV3R.00.01""],""MeterFirmwareVersion"":[""KU3 01.24""]}"
"113","MP-Bhopal","12","12","2","2","15-05-2026 14:17:33","113","3","54","72","54","61","73","37","gaurav@kimbal.io","True","40","1","NULL"
"114","BENTEC_1P","12","12","2","2","15-05-2026 14:17:33","114","3","55","65","55","62","64","38","gaurav@kimbal.io","True","41","1","NULL"
"115","APRAAVA-HP-UNIFIED_(RSSI)","12","12","2","2","15-05-2026 14:17:33","115","3","76","101","76","89","108","52","peeyush.mishra@kimbal.io","True","5","1","{""RFFirmwareVersion"":[""17.12.4.23""],""MeterInternalFirmwareVersion"":[""APHP0.02.11"",""APHP0.01.91"",""HPSX3.00.16""],""MeterFirmwareVersion"":null}"
"116","MVVNL TCP 4G","0","0","4","4","15-05-2026 14:17:33","116","0","57","67","57","64","66","40","gaurav@kimbal.io","False","43","1","NULL"
"117","PVVNL(Unified)","12","12","2","2","15-05-2026 14:17:33","117","3","58","68","59","66","67","42","vikash.singh@kimbal.io","True","44","1","NULL"
"118","Intelli Pkg7 (TCP)_LTCT","0","0","4","4","15-05-2026 14:17:33","118","0","59","69","60","67","68","27","gaurav@kimbal.io","False","45","1","NULL"
"119","MonteCarlo/NCC-MSEDCL-RF (147 Bill)","12","12","2","2","15-05-2026 14:17:33","119","3","17","75","18","44","70","25","gaurav@kimbal.io","True","12","1","NULL"
"120","APDCL 3P (PA series)","12","12","2","2","15-05-2026 14:17:33","120","3","67","49","42","46","69","29","gaurav@kimbal.io","False","29","1","{""RFFirmwareVersion"":[""15.13.0.5:13""],""MeterInternalFirmwareVersion"":[""PA002.00.18""],""MeterFirmwareVersion"":[""CRN- 06.02""]}"
"121","APDCL 1P TCP 4G (AIIB)","0","0","4","4","15-05-2026 14:17:33","121","0","46","54","46","51","57","34","gaurav@kimbal.io","False","33","1","NULL"
"122","Apraava 1P AIIB (RSSI)","12","12","2","2","15-05-2026 14:17:33","122","3","60","71","46","68","71","34","gaurav@kimbal.io","False","33","1","NULL"
"123","HP Secure Feeder_NewIPDataModel","0","0","4","4","15-05-2026 14:17:33","123","0","73","96","71","82","72","7","atul.raj@kimbal.io","False","3","1","NULL"
"124","ADANI RTC SYNC","0","0","4","4","15-05-2026 14:17:33","124","0","33","36","34","69","37","22","vikash.singh@kimbal.io","False","23","1","NULL"
"125","Apraava_WB_3P_NewHeader","12","12","2","2","15-05-2026 14:17:33","125","3","12","98","12","83","95","11","gaurav@kimbal.io","True","8","1","NULL"
"126","Bhopal_KEMSH","0","7","3","3","15-05-2026 14:17:33","126","0","61","73","61","70","74","37","peeyush.mishra@kimbal.io","True","46","1","NULL"
"127","NCC PKG8/9/Montecarlo 1P (Export Parameters)","12","12","2","2","15-05-2026 14:17:33","127","3","31","74","32","34","32","10","gaurav@kimbal.io","True","21","1","NULL"
"128","MonteCarlo/NCC-MSEDCL-RF FG23 (New Header)_Copy","12","12","2","2","15-05-2026 14:17:33","128","3","17","76","18","44","70","25","gaurav@kimbal.io","True","12","1","NULL"
"129","Intelli Pkg7 unified 1P","12","12","2","2","15-05-2026 14:17:33","129","3","62","77","62","71","75","34","gaurav@kimbal.io","True","33","1","{""RFFirmwareVersion"":[""16.12.0.13""],""MeterInternalFirmwareVersion"":[""IPK70.02.01""],""MeterFirmwareVersion"":null}"
"130","Intelli PKG7 unified 3P","12","12","2","2","15-05-2026 14:17:33","130","3","63","79","63","72","112","43","gaurav@kimbal.io","True","47","1","NULL"
"131","Intelli Pkg7 unified 1P_(without RSSI)","12","12","2","2","15-05-2026 14:17:33","131","3","62","78","62","71","76","34","gaurav@kimbal.io","True","33","1","{""RFFirmwareVersion"":[""16.12.0.13""],""MeterInternalFirmwareVersion"":[""IPK70.01.18""],""MeterFirmwareVersion"":null}"
"132","HPL_HPSEB_1P(RF)","12","12","2","2","15-05-2026 14:17:33","132","3","64","84","64","73","78","44","milan.sharma@kimbal.io","True","48","1","NULL"
"133","MonteCarlo/NCC-MSEDCL-RF (63 Bill)","12","12","2","2","15-05-2026 14:17:33","133","3","17","80","18","44","70","25","gaurav@kimbal.io","True","12","1","NULL"
"134","NCC PKG8/9/Montecarlo 1P","12","12","2","2","15-05-2026 14:17:33","134","3","31","82","32","34","32","10","gaurav@kimbal.io","True","21","1","NULL"
"135","DGVCL 1P (Nonunified)","0","0","4","4","15-05-2026 14:17:33","135","3","65","83","65","74","80","33","gaurav@kimbal.io","True","35","1","NULL"
"136","Anvil_Sikkim_KMESH","0","7","3","3","15-05-2026 14:17:33","136","0","66","85","66","75","81","49","gaurav@kimbal.io","False","27","1","NULL"
"137","UnifiedGVPRWB-1P(RF-FG23)_WithoutRSSI","12","12","2","2","15-05-2026 14:17:33","137","3","43","51","43","47","82","0","atul.raj@kimbal.io","True","30","1","{""RFFirmwareVersion"":[""v16.12.1.21""],""MeterInternalFirmwareVersion"":[""WB1PG.00.19""],""MeterFirmwareVersion"":null}"
"138","MonteCarlo/NCC-MSEDCL-KMESH (147 Bill)","0","7","3","3","15-05-2026 14:17:33","138","0","68","86","18","76","83","25","gaurav@kimbal.io","True","49","1","NULL"
"139","EMS_DEMO","0","0","4","4","15-05-2026 14:17:33","139","0","69","87","67","77","19","15","gaurav@kimbal.io","False","13","1","NULL"
"140","Apraava MQTT_Bill85parameters","0","0","3","3","15-05-2026 14:17:33","140","0","11","88","11","58","12","18","gaurav@kimbal.io","False","7","1","NULL"
"141","Apraava_APDCL_LTCT(New Header)(bill85parameter)","12","12","2","2","15-05-2026 14:17:33","141","3","50","89","50","78","55","18","gaurav@kimbal.io","False","7","1","NULL"
"142","HP_Secure_Consumer_IPNewDataModel","0","0","4","4","15-05-2026 14:17:33","142","0","51","60","51","57","84","7","atul.raj@kimbal.io","False","3","1","NULL"
"143","DEMO","12","12","2","2","15-05-2026 14:17:33","143","3","46","54","46","51","57","32","vikash.singh@kimbal.io","True","33","1","NULL"
"144","Bhopal_TCP","0","0","4","4","15-05-2026 14:17:33","144","0","61","73","61","70","74","0","peeyush.mishra@kimbal.io","False","46","1","NULL"
"145","MCL_LTCT_RF FG23","12","12","2","2","15-05-2026 14:17:33","145","3","70","92","68","79","87","45","gaurav@kimbal.io","True","50","1","{""RFFirmwareVersion"":[""17.8.4.12""],""MeterInternalFirmwareVersion"":[""MMCL23.00.03""],""MeterFirmwareVersion"":null}"
"146","WB_KMESH","0","7","3","3","15-05-2026 14:17:33","146","0","71","10","12","13","88","46","vikash.singh@kimbal.io","True","8","1","{""RFFirmwareVersion"":[""2.7.0""],""MeterInternalFirmwareVersion"":[""WB1PX.00.29""],""MeterFirmwareVersion"":null}"
